Plant,Material,Material Descp,Supplier/Supplying Plant,Lead Time,Lot Size,Production Capacity Vendor
1826,40000001,A.N.MELT,85410046   R.C.F  LIMITED,2,10,75
1826,40000001,A.N.MELT,1821 Solar Indus. India Ltd-1821,3,10,75
1837,40000050,SODIUM NITRITE (NX),85410046   R.C.F  LIMITED,5,10,45
1837,40000050,SODIUM NITRITE (NX),1821 Solar Indus. India Ltd-1821,4,10,45
1837,40000050,SODIUM NITRITE (NX),85410150   SAN CHEMICALS,3,10,45
1832,40000123,SORBITAN MONO OLEATE (SMO),85410150   SAN CHEMICALS,4,10,35
